tweet,time,retweets,location
RT @SASAMkII: @karamone_ze つまり… https://t.co/Mp7IQ4A6fn,2021-04-15 13:12:16,72,ベルフォレスト
"RT @Sunono_KRR: @snowman_world REQUEST #SnowMan @MTV #FridayLivestream

I LOVE Ryota Miyadate ❤️💄👠🥀

❤️ Because ...
【he looks clam but he a…",2021-04-15 13:12:16,7,
RT @kjgoisu_burst: Snow Man といえば、 D.D.だよ！,2021-04-15 13:12:16,1,自ツイートはいいねにあります
"RT @PobeditiXZ: Welcome home, baby Cai Ding😇

#肖战 #XiaoZhan #샤오잔 #진정령 
#肖戦 #เซียวจ้าน  #肖戰 https://t.co/hwXpj5Fg4b",2021-04-15 13:12:15,239,
"「僕のヒーローアカデミア」より轟焦凍のぬいぐるみです。
Snow outfit(雪用の冬服)バージョンです。
耳あての左右の色が違うのがかわいいですね。
マフラーも2色の色が混ざっていてオシャレです。… https://t.co/6r3PQpFkz9",2021-04-15 13:12:15,0,
"RT @im_usa99b: @snowman_world REQUEST #SnowMan @MTV #FridayLivestream

Snow Man are cool and funny people😊

Snow Man応援中📣 Grandeur / ナミダの海を越…",2021-04-15 13:12:15,16,
"RT @Fujiya_Yougashi: ""不二家presents Snow Manの素のまんま""で 紹介されました！

春にぴったりな可愛らしい２品は明日4/16から発売します💛
春を味わってみてくださいね🌷

「苺のフラワーケーキ」
「フルーツガーデンドルチェ」

#素のま…",2021-04-15 13:12:15,684,
"RT @HitsujiHikaru3: Crazy F-R-E-S-H Beat聴きながらCrazy F-R-E-S-H Beatリクエスト中⛄️💖
REQUEST #SnowMan @MTV #FridayLivestream
Snow Man 
Grandeur / Big…",2021-04-15 13:12:14,10,
"bro this oomf makes such bad snow app edits, I feel bad..",2021-04-15 13:12:14,0,they / he / she
"RT @livedoornews: 【大変そう】アンパンマンの顔はどれだけの材料費がかかる？独自に算出したデータを基に計算
https://t.co/t6TXxzYFnL

金額合計は約27,000円で、毎日焼く場合、年間で約1,000万円になるという。なお、あんこがない「しょ…",2021-04-15 13:12:14,4438,
RT @mk_yh94: ラウール「康二くんは常に忙しい。凄いよ。感動するもん。曲を出さない期間とかSnow Manを忘れられちゃうんじゃないかって不安になるんだけど、でもよく考えたら康二くんがずっとテレビに出てくれて、そのおかげでSnow Manの名前が忘れられないんだよ」…,2021-04-15 13:12:14,428,塩麹の鼻のほくろ
I might buy myself another snow globe. They are so much fun!,2021-04-15 13:12:13,0,"Savannah, GA"
"RT @SNM_burst_aps: @snowman_world REQUEST #SnowMan @MTV #FridayLivestream

I LOVE Ryota Miyadate ❤️💄👠🥀

❤️ Because ...
【ダイナミックなダンスとかっこよくておも…",2021-04-15 13:12:13,5,
@Snow__life_ みな、って呼ぶね～！！✌✌,2021-04-15 13:12:12,0,合わないと感じたらこっそり外してもらって大丈夫ですからね❗️
"RT @tietieppe: 本日のOnAir曲はSnow Man『Crazy F-R-E-S-H Beat』
 #素のまんま",2021-04-15 13:12:12,1,
"RT @Lily_SNM: REQUEST #SnowMan @MTV #FridayLivestream

⛄️Snow Man❄️

Grandeur：Big Bang Sweet：ナミダの海を越えて行け：EVERYTHING IS EVERYTHING #スノフォ

▶︎…",2021-04-15 13:12:12,8,
"RT @sukissukidesu: REQUEST #SnowMan @MTV #FridayLivestream
💗🌸🍑💗🌸🍑💗🌸🍑🌸🍑
🌸          💗Snow Man💗          🌸
🍑      Crazy F-R-E-S-H Beat    🍑
💗…",2021-04-15 13:12:12,9,
"@snow_sawayaka いわさくわたしも待ってる🥰💛💗
照結構スパン短い時あるから来週くるかもよ😳？(短過ぎ)
うれぴーまんやね😍💗
あべちゃんににゃはにゃはしてそう←",2021-04-15 13:12:11,0,💛🌸🌸🌸🦋
1単位でも落としたら留年とか脅される学校なのに、呼び出しをすっぽかした人間←開始1週間で脱落の危機,2021-04-15 13:12:11,0,
RT @QuiltsforDreams: snow fun in my #etsyshop #Handmade #quilted #Christmasquilt  #snow messages #Christmasthrow #Christmasdecoration  #lap…,2021-04-15 13:12:11,8,
"RT @Fujiya_Yougashi: ""不二家presents Snow Manの素のまんま""で 紹介されました！

春にぴったりな可愛らしい２品は明日4/16から発売します💛
春を味わってみてくださいね🌷

「苺のフラワーケーキ」
「フルーツガーデンドルチェ」

#素のま…",2021-04-15 13:12:11,684,
"RT @atd90459964: @VoteWithARMY @BTS_twt Crystal snow ❄

#BestFanArmy #BTSARMY  #iHeartAwards 
@BTS_twt",2021-04-15 13:12:10,47,
ギルベルトも、くをたくんも、顔の良い遺伝子を持っていながら何故こうも....こうも...........,2021-04-15 13:12:10,0,お前の背後
@tomo_920705 @Snow__0122__Man （☆´∀｀人´∀｀☆）,2021-04-15 13:12:09,0,
"REQUEST #SnowMan @MTV #FridayLivestream

　Snow Man  📣⛄️
Crazy F-R-E-S-H Beat💖

Snow Man is cute and cool. They have… https://t.co/cq1FaxZ80e",2021-04-15 13:12:09,0,
"RT @Lily_SNM: @snowman_world REQUEST #SnowMan @MTV #FridayLivestream

I LOVE Shota Watanabe 💙🛁🐳🦋

💙 Because ...
【綺麗な歌声と鋭いワードセンス✨】

💙 Snow M…",2021-04-15 13:12:09,13,
"RT @b07754148: Snow Man 岩本くんの大好きなお菓子
フルーツの森さんを普段行かないスーパーで発見 #スノフォ
素のまんまは食べながらリアタ イします！
REQUEST #SnowMan @MTV #FridayLivestream

Grandeur /…",2021-04-15 13:12:09,8,
"粉に咳き込んで一瞬困り眉になった宮舘くん可愛すぎて…
飴ちゃんあげるよ…
#モニタリング",2021-04-15 13:12:09,0,宮舘王国領海
"REQUEST #SnowMan @MTV #FridayLivestream

　Snow Man   📣ʕ•ᴥ•ʔ
Crazy F-R-E-S-H Beat💛

I want everyone to see the Snow… https://t.co/ycwtXNirws",2021-04-15 13:12:09,0,
"RT @nn_9purple: REQUEST #SnowMan @MTV #FridayLivestream 

🍵🍡🌸🍵🍡🌸🍵🍡🌸🍵🍡🌸

今日もSnow Manで癒される🥺💗
Grandeur
Crazy F-R-E-S-H Beat
ナミダの海を越えて行け…",2021-04-15 13:12:08,11,
"RT @marinamaral2: Colorized by me: A 6th Airborne Division sniper on patrol in the Ardennes, wearing a snow camouflage suit, 14 January 194…",2021-04-15 13:12:08,38,Será que eu to na Lagoinha?
"RT @hiromin316510: @KevanKenney @MTV Thanks Kevan!

REQUEST #SnowMan @MTV #FridayLivestream

Snow Man応援中📣 Grandeur / ナミダの海を越えて行け / Big Bang…",2021-04-15 13:12:08,13,
"@XxRoyaleAlexaxX For the ride peacock:
2 snow owl, 1 golden dragon and adds?? Please",2021-04-15 13:12:08,0,
"RT @snow_ouen_92: REQUEST #SnowMan @MTV #FridayLivestream 

Snow Man's energetic performance has won my heart and never will let it go.

Sn…",2021-04-15 13:12:08,2,
"RT @KIITUniversity: Heritage and culture wrapped in towering mountains and valleys of snow. 
#KIIT wishes everyone a Happy #Himachalday !!…",2021-04-15 13:12:07,36,
"SnowManとまったく関係ないけど
今 始まったダウンタウンDXで
かかる曲🎵
〖SiM   KiLLiNG ME〗
もうかなり前から変わらないですよね〜
好きなんです。SiM
レゲエパンクバンドです。。",2021-04-15 13:12:07,0,
"RT @yuki_daruma_tan: REQUEST #SnowMan @MTV #FridayLivestream

I LOVE Raul 🤍🕊🍼💭

🤍 Because ...
類稀な表現力に釘付け
様々なカルチャーを吸収して成長していって欲しい男の子
心身共に健康で…",2021-04-15 13:12:07,6,
RT @snowsnowsnowx3: ひーくんの｢結構さ俺さ好きだから。ラウとのこういう喋りとかも。｣にときめきつつ最近なにかの雑誌で同じ感じの事言ってたな～と雑誌漁りだしsteady.のいわふかラウ対談での｢俺はけっこう、好きだけどね｣を見つけ満足しました!!これでモニタリ…,2021-04-15 13:12:07,1,自ツイートはいいねにあります
"RT @Trj0808: @snowman_world REQUEST #SnowMan @MTV #FridayLivestream

I LOVE Ryota Miyadate ❤️💄👠🥀

❤️ Because ...
He is a hard worker and pa…",2021-04-15 13:12:06,19,
"RT @fairydust1306: @VoteWithARMY Crystal Snow

I vote #BTSARMY for #BestFanArmy at #iHeartAwards 2021 
(@BTS_twt )",2021-04-15 13:12:06,61,
"RT @snow_ouen_92: REQUEST #SnowMan @MTV #FridayLivestream 

I would like to request Grandeur by Snow Man.
Snow Man is cool because of the e…",2021-04-15 13:12:06,2,
"RT @CRcrownland: #肩乗りにしださん

何個か作ってみた😄

https://t.co/JSyLdOT7AH

なので！

あなたも使っていいよ！

で、使った写真も見てみたい🥰

あ、だから、ぜひ、
使っていいよ、じゃなくて、
使ってみてください😄

#肩乗り…",2021-04-15 13:12:05,16,
"RT @snm______snm: REQUEST #SnowMan @MTV #FridayLivestream

I want a lot of people to know about Snow Man!

Grandeur / Big Bang Sweet / ナミダの…",2021-04-15 13:12:05,5,
@snow_saku_man9 小出しにしてくるあざといコンビ〜！！！🥺,2021-04-15 13:12:05,0,江戸川区に住みたい。
"RT @HitsujiHikaru3: Crazy F-R-E-S-H Beat聴きながらCrazy F-R-E-S-H Beatリクエスト中⛄️💖
REQUEST #SnowMan @MTV #FridayLivestream
Snow Man 
Grandeur / Big…",2021-04-15 13:12:04,10,
"@Snow_MG_ チーム名|| Whalë∬
代表者ID|| @666_nanimono
コピべ用||  666_nanimono

2.3.4どれか1つ頂ければ幸いです",2021-04-15 13:12:04,0,荒野ランド
"@snow_0122riri ひみつのアッコちゃんよく知らないくせに
テクマクマヤコンっていう言葉だけは
なぜか知ってたので、りささんと全く
同じ遊び方してましたね😂笑
コンパクトってのがなんか女の子！って
感じで可愛かったですw",2021-04-15 13:12:04,0,とうほくエリア
"RT @snowman_ssw: Snow Manの「素のまんま」
本日夜9時より放送！

☃️今夜のメンバー☃️
#ラウール
#岩本照
の2人です！お聞き逃しなく！
￼
放送中は #素のまんま でツイートして一緒に盛り上がりましょう！
 #SnowMan",2021-04-15 13:12:03,3277,千葉 流山市
RT @a1103__k0810: ハートのSnow Man https://t.co/PVFuVN5ipx,2021-04-15 13:12:03,4,🌙 
