tweet,time,retweets,location
"RT @SenKatyG: At the beginning of the year the PM said that the vaccine rollout was his #1 priority.

Since then we've seen delays, public…",2021-04-15 13:11:12,97,
"RT @Liz_Wheeler: THIS IS HOW YOU FIGHT THE CULTURE WAR.

60 restaurants, nightclubs, &amp; other hospitality entities in the UK defy the govt v…",2021-04-15 13:11:12,45,
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:12,58064,"San Antonio, TX"
RT @levinepmc: It is now clear why ⁦@AnitaOakville⁩ will not share the contents of the vaccine contracts with Canadians. With a cost to vac…,2021-04-15 13:11:12,544,"Calgary, Alberta"
RT @ecmd4: Legit had a dream I was out for an afternoon stroll to Kensington Market and I stumbled upon a “moderna pop up” and it was a “se…,2021-04-15 13:11:12,1,
I had the Moderna vaccine here in Canada 🇨🇦 What vaccine did you have?,2021-04-15 13:11:12,0,"Vancouver, British Columbia"
"RT @Awakend_Citizen: 元ファイザー副社長と公衆衛生部門の専門家がコロナワクチン即時停止を欧州医薬品庁に申請

https://t.co/uBnxl8esNU https://t.co/omjzmYOCV0",2021-04-15 13:11:12,391,
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:12,58064,Jakes heart 11/27/15 :-)
@FBlogpreneur My vaccine experience - https://t.co/jKYul5ACtZ,2021-04-15 13:11:12,0,Connecticut
"RT @ManCityCouncil: The second dose of the Covid vaccine is really important and helps to provide longer-term protection.

Don't delay in g…",2021-04-15 13:11:12,3,Crumpsall Manchester UK
"RT @Daily_Express: Brexit hailed as crucial for UK vaccine success 'Should be shouting it from rooftops'  #jeremyvineon5

https://t.co/yaAC…",2021-04-15 13:11:11,4,United Kingdom
RT @WebMD: Pfizer has asked the FDA to authorize the use of its COVID-19 vaccine for children as young as 12. https://t.co/49RZEyGFUO https…,2021-04-15 13:11:11,16,
RT @TMackeown: @ProfTimNoakes @WHO They tell us that natural immunity is inadequate and in the next breath they tell us that Covid vaccines…,2021-04-15 13:11:11,5,
RT @TheBlueGem3: Talking to my MIA and she told me my widowed SIL w/ 4 kids is refusing a vaccine because she doesn’t feel it’s safe. Fuck!…,2021-04-15 13:11:11,59,
"RT @dubsndoo: It seems like the words finally gotten out to media outlets worldwide, that Justin Trudeau is a total failure on the vaccine…",2021-04-15 13:11:11,350,
"RT @LifeNewsHQ: Joe Biden stopped a vaccine because 6 people developed a blood clotting condition.

But he's promoting the abortion pill th…",2021-04-15 13:11:11,67,San Diego CA
"RT @TheRealMkA20: Surprise surprise, Bill &amp; Melinda Gates Foundation and CCP money are the main backers of vaccine passports.",2021-04-15 13:11:11,1098,
@EdoajoEric Because if they admit it works than the vaccine EUA would go away by law. You can only get a EUA is the… https://t.co/V5SjCBXN1F,2021-04-15 13:11:11,0,
"RT @merry123459: Why aren’t all the other Provinces who have Liberal and NDP Premier’s complaining about vaccine shortages? 

Why is it onl…",2021-04-15 13:11:11,124,Ontario
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:10,58064,"Maryland, USA"
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:10,58064,"Valdosta, GA"
"RT @kylegriffin1: Tarik Khan, a Philadelphia nurse practitioner, spends his nights rushing across the city to bring COVID vaccines that wou…",2021-04-15 13:11:10,1108,
RT @MazzucatoM: Oxford/AstraZeneca Covid vaccine research ‘was 97% publicly funded’ | Medical research | The Guardian https://t.co/uHPeC4XI…,2021-04-15 13:11:10,463,
"RT @AndrewE_Dunn: Dr. Rino Rappuoli, GSK's chief scientist and head of external R&amp;D, will replace the outgoing Manu Hanon on an interim bas…",2021-04-15 13:11:10,1,"New York, NY"
"RT @rec777777: @Femi_Sorry We're all very proud of what we have achieved with #brexit and proving project fear was all lies.

The bonus is…",2021-04-15 13:11:10,5,"Ashford, England"
RT @G_S_Bhogal: Many of those who dismissed Covid as a threat because it had a “1% fatality rate” are now freaking out about the vaccine be…,2021-04-15 13:11:10,754,some Caterpillar's cargo bay
"Watch Evangelicals Tell CNN They Won't Get Covid Vaccine Because 'Bill Gates and Them Trying to Kill Us' 

https://t.co/8LbN3FiveG",2021-04-15 13:11:10,0,On the road
@danwootton Only treat people who have had the vaccine,2021-04-15 13:11:10,0,
RT @NHSuk: COVID-19 vaccine fact check. The COVID-19 vaccine will always be availabe free of charge. The NHS will never ask you to share ba…,2021-04-15 13:11:09,21,London
"RT @LifeNewsHQ: Joe Biden stopped a vaccine because 6 people developed a blood clotting condition.

But he's promoting the abortion pill th…",2021-04-15 13:11:09,67,"Wood Dale, IL"
"RT @GlobalJusticeUK: THIS. IS. HUGE.

175 world leaders and Nobel laureates have called on President Biden to suspend patents on #COVID19 v…",2021-04-15 13:11:09,32,
"@ThatRyanChap Seems unclear what antibody tests ONS did was it for virus, vaccine or a mix. My guess a mix somehow",2021-04-15 13:11:09,0,
"RT @CarlWillDurham: In long run AstraZeneca vaccine will be recognised for what it is: a critical, life-saving tool which carved out one of…",2021-04-15 13:11:09,48,
"RT @GreenPartyMolly: Oxford/AstraZeneca Covid vaccine research ‘was 97% publicly funded’

A vaccine needed in a public health crisis and de…",2021-04-15 13:11:09,115,
.@DailyBeast @alainademop writing stories about instagram and facebook comments (that they could easily have made).… https://t.co/zCtOwZCCCc,2021-04-15 13:11:09,0,Texas
"Is it a bad idea to stop the J&amp;J vaccine? Yes, based on  this analysis. ""50 excess deaths from a delay of two weeks… https://t.co/6pTJlhUuTX",2021-04-15 13:11:09,0,"New York, NY"
RT @Melissa03919057: @antnisP @andrew_croxford No. It is several times more expensive. AZ is the only vaccine selling at cost and they have…,2021-04-15 13:11:09,2,
"RT @Darren58564306: @snb19692 Well done Steve considering he was being a patronising snob, typical attitude of the the tory elite. The vacc…",2021-04-15 13:11:09,2,
"RT @mdo526: NJ: Oppose vaccine 💉 passports? Tell your NJ representatives that YOU #donotconsent 
Send 📧 &amp; share widely: 
https://t.co/JKI6z…",2021-04-15 13:11:09,8,United States
"Sinovac, AstraZeneca, Moderna, and Novavax.

Total vaccine supply by the end of 2021: 140.5 million doses. | Kyla B… https://t.co/8PXGZP2w5o",2021-04-15 13:11:09,0,Central Luzon
RT @tilanutella: Kerajaan yang paling tak peduli rakyat. Sumpah la penat nak hadap covid for over a year just to read news negara dah miski…,2021-04-15 13:11:08,70,
RT @Gutfeldfox: Jen Psaki's getting the vaccine message out to white conservatives... sort of. #Gutfeld https://t.co/ZMaZc9gVFs,2021-04-15 13:11:08,192,Sunflower State
"Claim: Pres. Duterte on country’s vaccine supply “Mayroon tayong nakuha at may dadating…”

TRUE: During the Cabinet… https://t.co/KSEQ70qXdp",2021-04-15 13:11:08,0,Central Luzon
RT @jiggyjayy2: Yall want this frantic about 3K ppl dying A DAY enough to stay in the house but 6 cases of blood clouts out of 7 million go…,2021-04-15 13:11:08,17179,"Toronto, Ontario"
"RT @kanishkdutt9: 🔸Covid Warning
🔸Economic Instability
🔸Vaccine Procurement
🔸Forlorn Institutions
🔸CBSE Examination

These are not assumpti…",2021-04-15 13:11:08,58,Gudha
"RT @MarketWatch: Study says Pfizer, Moderna vaccines pose same blood clot risk as AstraZeneca's https://t.co/bdm3O81kuh",2021-04-15 13:11:07,56,
@1314_wallace @TheTorontoSun Sex work isn’t regulated. How are they supposed to “close” sex work when it’s unregula… https://t.co/27xWQdDLPS,2021-04-15 13:11:06,0,
RT @ttallon: Only 6 people got blood clots after receiving the J&amp;J vaccine and regulatory/public health agencies are taking action. 52 Blac…,2021-04-15 13:11:06,5892,"Philadelphia, PA"
RT @nytimes: Prime Minister Justin Trudeau of Canada has come under fire for the country’s slow vaccination rate. The criticism comes just…,2021-04-15 13:11:06,25,Washing My Hands
"@Mamakind420 @DeanJC420 Try again!

https://t.co/oJrIAU92KU",2021-04-15 13:11:06,0,YYZ  PBC  HKG
i get my second vaccine today https://t.co/RHYiAWK5QO,2021-04-15 13:11:06,0,🌈
I've reached the social-media pinnacle. I'm in Facebook jail for the next 15 hours because I called a vaccine denie… https://t.co/ZLyYD0RHvV,2021-04-15 13:11:05,0,
@Vbmaier It’s much worse in countries that can only afford Astro Zeneca and J&amp;J. The pause is elite first world pro… https://t.co/u5n3nVn0wA,2021-04-15 13:11:05,0,USA
Tucker responds to Fauci's calling his vaccine questions a 'conspiracy theory': What are you telling us? https://t.co/oD9QhGMkv5 #FoxNews,2021-04-15 13:11:05,0,
"@Mereshas @robertlowry LOL that’s all it takes, then they might become the # 1 vaccine when they’re back 😆 #badpress #goodpress",2021-04-15 13:11:05,0,"Los Angeles, CA"
Kya morcha sambhala hai @anjanaomkashyap ne vaccine distribution ko leke up gujrat aur maharshtra ko leke bjp walon… https://t.co/QTEmIZlAyn,2021-04-15 13:11:05,0,
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:05,58065,"Los Angeles, CA"
Blood clots as prevalent with Pfizer and Moderna vaccine as with AstraZeneca's: study - MarketWatch… https://t.co/SQKsp9mAcL,2021-04-15 13:11:05,0,Around You
RT @KarenAttiah: Two days later after my second vaccine dose and im stil having aches and fatigue :(,2021-04-15 13:11:05,6,
"RT @menakadoshi: Serum Institute needs Rs 3,000 crore to add vaccine capacity.

There's an easy fix to this if the govt won't help (though…",2021-04-15 13:11:04,32,"New Delhi, India"
"RT @TheRealMkA20: Surprise surprise, Bill &amp; Melinda Gates Foundation and CCP money are the main backers of vaccine passports.",2021-04-15 13:11:04,1097,annapolis Md
"RT @Social_Mime: Don't worry about the government putting a microchip in you with the vaccine, because eventually they'll disable it when t…",2021-04-15 13:11:04,1,BFE
"RT @DrWaheedArian: Happy #Ramadan to all muslims.
Let's remember the true spirit of this holy month to show compassion to ourselves and oth…",2021-04-15 13:11:04,114,
"RT @amirhimself: Macam ni punya handle vaccine rollout ni, 2030 belum tentu boleh balik Raya korang ni. Aku okay je.",2021-04-15 13:11:04,23,Kuala Lumpur
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:04,58055,
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:04,58065,The West
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:03,58065,"Prichard, AL"
RT @drivingmemadi: g6 chemical has been found in the covid vaccine. side effects include gettin slizzard,2021-04-15 13:11:03,7842,
@EricDJuly Weirdos and their vaccine selfies,2021-04-15 13:11:03,0,"Chicago, IL"
RT @GrayRohrer: DeSantis’ ban of vaccine passports could lead to a showdown with businesses in Florida via @SteveLemongello with an assist…,2021-04-15 13:11:03,5,"Branson West,MO USA"
"U.S. could have 300 million extra vaccine doses by end of July, raising concerns over hoarding https://t.co/4eiRwlDuFG",2021-04-15 13:11:03,0,
RT @polls_unbiased: Do you work in the medical field and if so does your workplace require you to recommend the vaccine to your patients?…,2021-04-15 13:11:03,6,United States
"RT @BCOOL333: How about that?👇

Some evangelical Christians say covid vaccine is the mark of the beast.",2021-04-15 13:11:03,67,Somewhere
RT @WhiteHouse: Here’s what you need to know about the Johnson &amp; Johnson vaccine pause: https://t.co/hsegQLUztG,2021-04-15 13:11:03,2826,United States
@Glaven1994 I notice that said epidemiologist also predicted it would be at least 18 months before there would be a vaccine.,2021-04-15 13:11:03,0,
"RT @astroehlein: It's the moral thing to do. 

It's the smart thing to do. 

It's the necessary thing to do. 

""10 reasons why everyone sho…",2021-04-15 13:11:03,22,
"RT @gabrieloguda: Justice Martha Koome: 

""If I got married today and I have some property, my spouse is not entitled to it. And if I got m…",2021-04-15 13:11:03,1153,
"RT @BostonGlobe: Moderna’s two-shot vaccine prevented more than 90 percent of COVID-19 cases, according to updated trial data. 

That is sl…",2021-04-15 13:11:03,291,Las Vegas - Ecuador - Latinoam
"@BBCLisaSummers @BBCScotlandNews Is that the vaccine that still allows you to catch and give covid?

Is it that one?",2021-04-15 13:11:02,0,Scotland
"For all of this talk about accuracy and the historical record, Cuomo’s volunteer fact-checkers let some howlers sli… https://t.co/d9n2xG5iGf",2021-04-15 13:11:02,0,"Albany, NY"
RT @ashquenneville: Pointing out that birth control pills have a worse blood clot rate than any vaccine isn’t saying “blood clots are fine”…,2021-04-15 13:11:02,58067,"Iowa, USA"
"RT @globalnews: Many experts believe additional booster shots are going to be necessary, either to remind the immune system what it needs t…",2021-04-15 13:11:02,15,"Oro-Medonte, Ontario"
"RT @KambojSuraj857: Oh Uk🇬🇧? 
But why not @ScottMorrisonMP following @BorisJohnson 
Uk govt just stated that's corona is just only a common…",2021-04-15 13:11:02,3,"Punjab, India"
"RT @Coukaratcheat: @sioulkntz @GaspardGlanz Ne pas hésiter à s'inscrire sur https://t.co/9PcHBKaKNu

Ça permet d'être notifié·e si des dose…",2021-04-15 13:11:01,88,France
@lostghosts Hi Jazmine. We're sorry to hear about this experience. Can you please send us a DM with your contact in… https://t.co/TnZpEPMejN,2021-04-15 13:11:01,0,"Mississauga, Ontario"
"RT @FreedomIsrael_: The head of #Denmark's medicines agency, Tanja Erichsen, collapsed during a press conference on the decision to stop us…",2021-04-15 13:11:01,458,United States
"Ok, so I think I should say what's been going on.  Starting Wednsday night I got this red mark on my arm, yesterday… https://t.co/KhG2txLAh4",2021-04-15 13:11:01,0,Somewhere in PSN land!
