tweet,time,retweets,location
"RT @DreaHumphrey: Will we go into a tyrannical lockdown until cases drop from our flu season ending, so our PHO can say “see, we told you o…",2021-04-15 13:11:51,25,
"RT @flu_ffc: Gostaria de pedir todos os nossos amigos, seguidores, que se inscreva no canal @SentimentoTri do meu amigo André, o CARA É FER…",2021-04-15 13:11:49,2,"Espírito Santo, Brasil"
"@SolitaireOG @WintersNight18 Let's debate the ridiculousness of masks. I'll go first: Tell me when, in history, eve… https://t.co/IWJkEglNEr",2021-04-15 13:11:49,0,Tennessee
"RT @jhonyffc: 2 times que não liberaram jogador pro Fluminense foram eliminados de uma competição.

Outro time que também não liberou jogad…",2021-04-15 13:11:47,82,"Paris, France 🗼"
"RT @Iearnhistory: ""Wear a mask, or go to jail"" (1918 Spanish Flu) https://t.co/KoOBjxU9hU",2021-04-15 13:11:39,935,
"A base do Flu lançou a tropa, AGORA TODO TIME É TROPA TAMBÉM.",2021-04-15 13:11:38,0,Vitória
"RT @Ussignur_: &gt;
👉E' da investigare seriamente la possibilità che l'anomalia statistica di Bergamo/Brescia sia indirettamente dovuta alle m…",2021-04-15 13:11:34,3,"Milano, Lombardia, Italia"
"RT @Iearnhistory: ""Wear a mask, or go to jail"" (1918 Spanish Flu) https://t.co/KoOBjxU9hU",2021-04-15 13:11:33,935,indonesia
"@MarlaStromberg @hanjade87 @jvardon @tomhfh Sorry but I'm afraid you've quoted me out of context, maybe I wasn't cl… https://t.co/PNMI25QS3w",2021-04-15 13:11:27,0,"Cwmbran, South Wales"
"RT @Iearnhistory: ""Wear a mask, or go to jail"" (1918 Spanish Flu) https://t.co/KoOBjxU9hU",2021-04-15 13:11:25,935,Dehradun
@Coach31B @XFLNewsHub We’ve already gone thru that already in 1916 (ironically no Grey Cup that year either due to… https://t.co/UkYAyziwbk,2021-04-15 13:11:24,0,Nations Capital
"@VirtualAxiom I’ve gotten the flu for sure at least twice in my life. A couple days stunk, then I was back on my fe… https://t.co/yWGAhy7Gfo",2021-04-15 13:11:21,0,
"@ofissiaushu @ge_flu As vezes eu acho que essa página n é do Fluminense, é cada informação, viu kkkkkkk",2021-04-15 13:11:21,0,
"@notpt0kes We gonna vax up for a 1/1,000,000 chance somebody dies from this virus? Because man I got some bad news… https://t.co/PPHckx7Nol",2021-04-15 13:11:20,0,idk
"RT @Iearnhistory: ""Wear a mask, or go to jail"" (1918 Spanish Flu) https://t.co/KoOBjxU9hU",2021-04-15 13:11:14,935,🇮🇳 Ahmadabad 🇮🇳 Jamshedpur
"RT @Just4funsa: Spent two nights up with the man flu coughing,  of course I am checking for abs...",2021-04-15 13:11:14,21,?
"RT @News24: The Agriculture, Land Reform and Rural Development Department confirmed on Tuesday that 300 birds had died of Avian Flu at a co…",2021-04-15 13:11:11,2,INDIA
@FatEmperor It's the comparison with bad flu........ care to make a scientific comparison?,2021-04-15 13:11:03,0,"Bath, England"
"RT @KambojSuraj857: Oh Uk🇬🇧? 
But why not @ScottMorrisonMP following @BorisJohnson 
Uk govt just stated that's corona is just only a common…",2021-04-15 13:11:02,3,"Punjab, India"
@revpdh @DarcieMaceMaass @deirdrethompson @JamesMelville Sad news. But could contracting flu have had the same outc… https://t.co/gjPPYvHeiF,2021-04-15 13:10:57,0,"Manchester, England"
What’s up tho lmao why the celebs weren’t PROMOTING the flu shot like this tho? https://t.co/hfuIOmIGw9,2021-04-15 13:10:55,0,nyc. atl.
"@PERsisterER @matthewamiller I think it is pathetic.
It also shows how irrational fearful you are of something that… https://t.co/p8P7167TWU",2021-04-15 13:10:52,0,"Worcester, MA"
"RT @jhnhellstrom: Health experts say preventive measures for COVID-19 such as masks, social distancing, working from home and closing schoo…",2021-04-15 13:10:50,106,strabane
"@nichraes @berniespofforth The main issue is, that with exception of flu, these these generally don’t kill people.… https://t.co/YCpnlkKoca",2021-04-15 13:10:46,0,
@Sassychickie It’s the new strain of flu.,2021-04-15 13:10:44,0,
when people tell me if ima get vaccinated i tell them ive never had the flu shot. fuck outta here,2021-04-15 13:10:43,0,H-Town
Flu de olho no duelo entre Junior Barranquilla-COL e Bolívar-BOL - Clique para ver também ☛  https://t.co/K82tyAGcXk https://t.co/xbmHwNMq7K,2021-04-15 13:10:42,0,Brasil
