tweet,time,retweets,location
@Snow__Ab1127 俺おんぷちゃんになりたかった笑,2021-04-15 13:12:43,0,
"質問です。
なぜ舘様は顔まで埋もれても粉がつかないのですか？",2021-04-15 13:12:42,0,
@BTS_twt Buenos días mi vida 🥺,2021-04-15 13:12:42,0,
"RT @tea_milk_3: @KevanKenney @MTV REQUEST #SnowMan @MTV #FridayLivestream

I'm rooting for the Snow Man.
I want people all over the world t…",2021-04-15 13:12:42,29,
"RT @maburunyan: ♬*ﾟ・*:..｡♬*ﾟ・*:..｡♬*ﾟ・*:..｡♬
I am requesting Snow Man.
I hope you can see Crazy F-R-E-S-H Beat.
♬*ﾟ・*:..｡♬*ﾟ・*:..｡♬*ﾟ・*:..｡…",2021-04-15 13:12:42,3,
"なんか他所様の小説を勝手に本にする人の話のこっっっっえぇ噂が回ってきて怯えている
フライドチキンなので支部閉じようかくらいまで検討しはじめている(しません)(一時的なびびりです)(こわい)",2021-04-15 13:12:41,0,ぬっくぬくのｵﾌﾄｩﾝ
"RT @kazamineko: じゃ私も少し促進ツイートを…

今回の刀ステ无伝、なんと5月上演分から字幕付きで見れます！
字幕メガネというものを手続きをすれば会場から借りられるのよ！

私もそれで天伝で初めて生刀ステデビューしたけど話バッチリ分かったし舞台は話がわからないから…",2021-04-15 13:12:41,772,"2D/Japan, Bicchu (server)"
"RT @mssnowms2: REQUEST #SnowMan @MTV #FridayLivestream

Snow ManをMTVのFLSにリクエストしています！

いつかCrazy F-R-E-S-H Beatが流れますように✨
3rd single「Grandeur」…",2021-04-15 13:12:40,3,
@David_Snow_ @ThibaultVlacich @Nibellion Maybe because of dumb decisions like saying no to Days Gone 2? Who knoe,2021-04-15 13:12:39,0,
"@VoteWithARMY Crystal Snow

I vote #BTSARMY as #BestFanArmy at the #iHeartAwards @BTS_twt",2021-04-15 13:12:39,0,Purple Ocean💜
"REQUEST #SnowMan @MTV #FridayLivestream

I've been waiting for this tweet. May Snow Man make it to the top 5!
Pleas… https://t.co/nJ5ngH6C8F",2021-04-15 13:12:39,0,
Can confirm this morning the cold air will not make it in time to deliver us any snow here. Could be a different st… https://t.co/1smMPeydfp,2021-04-15 13:12:38,0,"Bethel, CT"
今度こそおやすみ😪💤,2021-04-15 13:12:38,0,
"RT @HitsujiHikaru: 今日はなかなかリクツイできなかった💦2回目の1RT=1REQありがとう💖
Crazy F-R-E-S-H Beatもおねがいします！
REQUEST #SnowMan @MTV #FridayLivestream
Snow Man 
Gra…",2021-04-15 13:12:38,25,
RT @a1103__k0810: ハートのSnow Man https://t.co/PVFuVN5ipx,2021-04-15 13:12:37,6,+673
"Snow White's Enchanted Wish attraction poster revealed!
https://t.co/YFRuVa4cBm https://t.co/6xJ7xHr08m",2021-04-15 13:12:37,0,
