tweet,time,retweets,location
Kkkkkkkkkk https://t.co/fiCj3HRqZB,2021-04-15 16:54:19,0,"Bangu, vila aliança "
"I love trying different cold coffees but this @drinkslaycoffee is so damn good, yaar matlab kahin aur se order karn… https://t.co/ZjWzAnDbxg",2021-04-15 16:54:18,0,Bombay
@JoBinchilly Steep lol ima go them spots when it get cold here .,2021-04-15 16:54:18,0,"Rochester, NY"
@Tiny_Camels I hate how it is totally cold but I already have allergies. What’s the point of that.,2021-04-15 16:54:18,0,"Woolwich, London"
RT @SamASchreier: We're cold enough that there could be snow in El Paso and Teller counties this afternoon before the main wave tonight. Fa…,2021-04-15 16:54:18,2,Colorado Springs/Pueblo
RT @Zaxbys: can you write off extra Zax Sauce on your taxes? asking for a friend,2021-04-15 16:54:17,4,Mississippi. Florida. 
RT @FlaviusEye: A 'Karen' came at me and my grandson(2 yrs old) screaming about him not wearing a mask... me in a low menacing voice... are…,2021-04-15 16:54:17,2,
i love how i tell myself “im gonna dress nice for school today” and then i wake up and i’m like “i’m cold SWEATSHIRT TIME!!”,2021-04-15 16:54:16,0,
"RT @FalkenTire: Keep items cold, or dry, w/ a Falken waterproof bag. RT &amp; follow #FalkenTire to enter to #win this #giveaway #contest #priz…",2021-04-15 16:54:15,535,Bicester
"Are they lying? Their lips were moving. This was cold blooded murder.

https://t.co/xVIEFWwYJI",2021-04-15 16:54:14,0,
"RT @Zaxbys: buns fired.

the chicken sandwich war ain’t over yet. our new Zaxby’s Signature Sandwich with Zax Sauce or NEW Spicy Zax Sauce…",2021-04-15 16:54:14,82,Mississippi. Florida. 
"RT @BethesdaStudios: Season 4 is incoming!
Starting April 27th, ""Cold Steel"" will begin in #Fallout76. 🎉 
Check out our newest Community Ca…",2021-04-15 16:54:13,126,
"RT @WardHayesWilson: What if nuclear weapons ideas were formed during a period of intense fear and anxiety (say, the Cold War, for example)…",2021-04-15 16:54:11,2,Middle East
RT @Lightskinchina_: @missle_26 okay but he ass actually cold as fuck and deserved more screen time!,2021-04-15 16:54:09,1,19
"@casadel4 Only Codm. I'm going to install either modern warfare or cold war on my pc when I get home.
Do you play?👀",2021-04-15 16:54:07,0,Your crib
"RT @hollysTWpoetry: I wonder 
if that’s who 
I used to be,
a piece of cold matter 
caught in the embrace 
of an even colder 
block of ice.…",2021-04-15 16:54:07,68,Indiana 
"RT @hollysTWpoetry: I wonder 
if that’s who 
I used to be,
a piece of cold matter 
caught in the embrace 
of an even colder 
block of ice.…",2021-04-15 16:54:07,68,"California, USA"
"Those who care should remove the heartless, cold, money hungry, selfish, blind, children in/from power.… https://t.co/264cVpkuwj",2021-04-15 16:54:07,0,Ottawa Ontario Canada
casamigos got me in a headlock. i mean a stone cold steve austin one.,2021-04-15 16:54:07,0,📍 CLT
If Anton Chigurh tried to make me flip that quarter I would simply keep it and buy myself a nice cold soda,2021-04-15 16:54:06,0,
"RT @RiseofBurnol: Despite my regular warnings

Despite my constant updates

Despite all Predictions

We didn't learn
We lost this war
No we…",2021-04-15 16:54:05,24,"Choolai, Perambur Purasavakam"
I hate waking up cold ☹️,2021-04-15 16:54:05,0,
im cold,2021-04-15 16:54:05,0,
"@McMcbrowns @seanhannity Except that what Hannity is saying as usual is not true, Pelosi is against expanding the c… https://t.co/CLGuFA5DVz",2021-04-15 16:54:04,0,
RT @MakeupForWOC: benzoyl peroxide or sulfur + cold rolling or icing + maybe some high frequency,2021-04-15 16:54:04,13,"Brooklyn, NY"
@dirtlump2 My Dad had an icy cold stare when he wanted to call upon it... I inherited it... I think that she almost wet herself...,2021-04-15 16:54:02,0,"Alberta, Canada"
RT @CallofDutyHope: Gameplay trailer in 27 minutes for Cold War Season 3. https://t.co/UdlEcLIvlt,2021-04-15 16:54:02,4,
@mfa_russia @StateDept @RusEmbUSA @USEmbRu @RusCons_TX @mission_rf @EmbassyofRussia @RusEmbIndia @RusEmbJakarta… https://t.co/3MOn5KfuXU,2021-04-15 16:54:02,0,
Very cold tonight,2021-04-15 16:54:02,0,Palu region
RT @Silly_Aint_Shxt: Bruh. Cold world 😩😂😂,2021-04-15 16:53:59,1,In kinkys castle.
@CNNSitRoom @SenSanders Bernie is a decent politician that he didn’t fearmonger about China in such an interview.… https://t.co/m45UZsomJ3,2021-04-15 16:53:58,0,"Brussels, Belgium"
Okay. I messed up. Told my daughters that I used to be a little girl but one day I had a really big sneeze but I he… https://t.co/5Egx79zUQ6,2021-04-15 16:53:57,0,London
@quitxwisey cold ratio,2021-04-15 16:53:57,0,
"The Floating Voter: Sinn Féin leader must answer questions on possibility of 'Cold War'-like voter database
At the… https://t.co/YvlRynWNK0",2021-04-15 16:53:57,0,Wicklow
this school really has us outside in patio chairs even though it’s cold as fuck and no one is distancing but I can’… https://t.co/hKpDme4KrZ,2021-04-15 16:53:56,0,"she/he/they, black 17, betanya"
I’m sorry if I’m too cold. I’m just unhappy,2021-04-15 16:53:55,0,"Pavia, Iloilo"
mom tel me to go out side more but it freezing out there i say it cold out ther i want to make furry arts in hot room why it gota be so cold,2021-04-15 16:53:55,0,
