tweet,time,retweets,location
"RT @GMMTV: “นนน-กรภัทร์ เกิดพันธุ์” ได้เข้ารับการตรวจหาเชื้อ COVID-19 ผลตรวจว่าพบเชื้อ COVID-19

#GMMTV https://t.co/OAcf66h1Ch",2021-04-15 13:09:40,5044,"กรุงเทพมหานคร, ประเทศไทย"
So there's this relative of a relative who died from covid and it really saddens me because she was a healthy and caring person back then🥺‼️,2021-04-15 13:09:40,0,Manila City
"RT @GMMTV: “นนน-กรภัทร์ เกิดพันธุ์” ได้เข้ารับการตรวจหาเชื้อ COVID-19 ผลตรวจว่าพบเชื้อ COVID-19

#GMMTV https://t.co/OAcf66h1Ch",2021-04-15 13:09:40,5027,
"RT @Cricketracker: News Alert: Anirudha Joshi replaces injured Shreyas Iyer.

Shams Mulani named as Covid-19 replacement for Axar Patel on…",2021-04-15 13:09:40,6,The Greater Himalyas 🌍
RT @CensoredJules: Esto debería estar prohibido aunque no hubiese covid.,2021-04-15 13:09:40,5,
RT @JosManu89614760: Ya listos para recibir la segunda dosis de la vacuna para covid los adultos mayores gracias a los buenos esfuerzos del…,2021-04-15 13:09:40,1,"Oaxaca, México"
RT @ijbrunissima: A Covid está tirando de nós as únicas coisas que não podem ser recuperadas: a vida e o tempo.,2021-04-15 13:09:40,4810,Vila Nova 
"Tek sınava giren adaylar değil orda gözetmen öğretmenlik yapan çalışanlar, polisler ve diğer çalışanlar da riske gi… https://t.co/ObIAUHrmms",2021-04-15 13:09:40,0,"İstanbul, Türkiye"
"La salud del “Toro” Quevedo, internado en grave estado con covid: su mensaje y el apoyo del ambiente https://t.co/wRGcGuAqSm",2021-04-15 13:09:40,0,"Lobos, Buenos Aires, Argentina"
"RT @SyedAkramin: Kes Covid-19 naik, kerajaan tak peduli.

Harga ayam, daging, minyak masak naik, kerajaan tak peduli.

Gaji minimum rendah,…",2021-04-15 13:09:40,4097,KL | KTN
"RT @BrazilFight: O fato de Renan Calheiros ser pai do governador de Alagoas, Renan Filho, um dos possíveis investigados pela CPI da Covid,…",2021-04-15 13:09:39,51,
"RT @FelipeCalderon: Alertan por alta mortalidad Covid en sector público - Vía @reforma
“Miles de muertes eran evitables”; “en resumen, fall…",2021-04-15 13:09:39,1051,Mexico
RT @CensoredJules: Esto debería estar prohibido aunque no hubiese covid. https://t.co/FX8H52WojH,2021-04-15 13:09:39,5,"Fuenlabrada, Hora Feliz"
"RT @milligazette: Assalamu alaikum, urgently need a plasma (AB+\-) from a COVID recovered patient (recovered atleast 28 days earlier) for m…",2021-04-15 13:09:39,35,Delhi/bihar
"RT @DineshDSouza: INSANE PART 2: CNN Director Admits They Push Covid Death Toll for Ratings
https://t.co/oR0yoCeLon",2021-04-15 13:09:39,2845,
"RT @evelynmff: Hola amigos... ¿Me ayudan a ayudar a mi tío? 

A sus 77 años tiene COVID y EPOC (Enfermedad Pulmonar Obstructiva Crónica). S…",2021-04-15 13:09:39,1331,
"@MrMasonMiIIs @MrMasonMills @EssexPR You'll never get an apology off ""I love me, Adam"", he's the man who posted a t… https://t.co/5EndC3ZiAP",2021-04-15 13:09:39,0,
RT @Mercede073: #FlexibilizacionConsciente para seguir protegiendo la actividad social y económica mientras se combate la COVID-19 y sus “v…,2021-04-15 13:09:39,476,
RT @VTVcanal8: Día 395 | Lucha contra la COVID-19: Venezuela registra 1.122 nuevos casos de transmisión comunitaria y mantiene tasa de paci…,2021-04-15 13:09:39,38,
"RT @Vaibhav21210590: 600+ COVID 19 CASES IN HARIDWAR 
 
AND FROM 22 APRIL  #UTU IS GOING TO START IN OFFLINE MODE   @deepakrawat_IAS  @dhru…",2021-04-15 13:09:39,4,
Tekrar Fenerbahçe camiasına ve Covid testi pozitif çıkan arkadaşlara geçmiş olsun dileklerimi iletiyorum. Umarım en… https://t.co/bzPh96fTTv,2021-04-15 13:09:39,0,
"RT @srinivasiyc: Prashant Bhai,

This has been sorted. Patient is on the way to one dedicated covid hospital right now.

Further everything…",2021-04-15 13:09:39,9,India
"RT @DrGlorioso: We need to keep relative risk in perspective. We take risks every day. If you drive 1000 miles on the road, you have 1/344…",2021-04-15 13:09:39,2,
RT @Pun_Starr: Covid-19 is just a statistic until it reaches your home.,2021-04-15 13:09:39,2696,"Bangalore,Karnataka"
"RT @Victor_Niverd: Trop hâte de jouer à l'extension ""variant brésilien"" cette année 🔥
Ça me fait tellement plaisir qu'ils sortent autant de…",2021-04-15 13:09:39,152,
"RT @carlinhoscury: EPICENTRO DA PANDEMIA 

SÃO PAULO apresenta 65% das mortes de Covid no Brasil.

DÓRIA É GENOCIDA!!!",2021-04-15 13:09:39,723,
Astros forced to scramble as five players go on COVID-19 IL https://t.co/Gbni7Ncuo7,2021-04-15 13:09:39,0,"New York, USA"
RT @oceanblue11oct: I hd Covid n was admitted for 6 days. This picture will stay with me. For the ones reading this tweet- they are humans…,2021-04-15 13:09:39,2836,Depression
"#FYI | “None of the tests in medicine are 100% accurate. Those who test negative for Covid, if their clinical sympt… https://t.co/bHaC8ty1kj",2021-04-15 13:09:39,0,India
"@Dean_Winnipeg a spring erection sounds too aggressive rn
and a lot of balls are being dropped by provs w covid
har… https://t.co/sZL1SkvenR",2021-04-15 13:09:39,0,"toronto, ontario"
RT @JorgePsuvR: 📰 Esta madrugada arribó a Vzla un avión proveniente de la hermana República Rusa con 50 mil dosis de la vacuna rusa Sputnik…,2021-04-15 13:09:39,202,
"Even after COVID is over, I don't see myself going back to shaking hands with folks. This whole thing has shown how nasty people are.",2021-04-15 13:09:39,0,"Arlington, VA"
RT @VTVcanal8: Lucha contra la COVID-19 | Arriban a Venezuela otras 50 mil dosis de vacunas rusas Sputnik-V y un millón de tabletas del ant…,2021-04-15 13:09:39,23,
"RT @GMMTV: “นนน-กรภัทร์ เกิดพันธุ์” ได้เข้ารับการตรวจหาเชื้อ COVID-19 ผลตรวจว่าพบเชื้อ COVID-19

#GMMTV https://t.co/OAcf66h1Ch",2021-04-15 13:09:39,5046,
"RT @Biristay1980: YO❤CUMANÁ

En todo el municipio Sucre se mantiene desinfección permanente contra el Covid-19 en todos los puntos de la ci…",2021-04-15 13:09:39,163,"Zulia, Venezuela"
"RT @LavanyaBallal: We had one year to be prepared for reducing the  Covid number, bettering medical facilities

@narendramodi spent time fe…",2021-04-15 13:09:39,224,
RT @camposulloa: Pdte del @colmed afirma que cada 10 minutos muere UNA PERSONA de COVID-19. Dr Patricio Meza dice que ha fallado la “comuni…,2021-04-15 13:09:39,29,"Viña del Mar, Chile"
"#BastaCoprifuoco ""(Cdc) statunitense ha identificato un piccolo gruppo di circa 5.800 casi di Covid-19 tra gli oltr… https://t.co/6AUDct3G3R",2021-04-15 13:09:39,0,Sassuolo Italy
RT @granadillaabona: 👥🗣️El IES Los Cardones participa en el pleno juvenil y traslada sus inquietudes al gobierno local. La actividad ha con…,2021-04-15 13:09:39,1,"Santa Cruz de Tenerife, España"
"RT @brujafemininja: Se los traduzco: si son médicos y atendieron a otras personas que no tenian COVID para no dejarlas morir, son unos rela…",2021-04-15 13:09:39,7,"Córdoba capital, Argentina"
UK scientists find higher risk of brain clots from COVID-19 compared with vaccines | Article [AMP] | Reuters https://t.co/DxY5Jq2qcr,2021-04-15 13:09:39,0,
"RT @srinivasiyc: Prashant Bhai,

This has been sorted. Patient is on the way to one dedicated covid hospital right now.

Further everything…",2021-04-15 13:09:39,9,
